Image name,Position Y,Position X,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Pixel value 1,Pixel value 2,Pixel value 3,Pixel value 4,Pixel value 5,Pixel value 6,Pixel value 7,Pixel value 8,Pixel value 9,Pixel value 10,Pixel value 11,Pixel value 12,Pixel value 13,Pixel value 14,Pixel value 15,Pixel value 16,Pixel value 17,Pixel value 18,Pixel value 19,Pixel value 20,Pixel value 21,Pixel value 22,Pixel value 23,Pixel value 24,Pixel value 25,Pixel value 26,Pixel value 27,Pixel value 28,Pixel value 29,Pixel value 30,Pixel value 31,Pixel value 32,Pixel value 33,Pixel value 34,Pixel value 35,Pixel value 36,Pixel value 37,Pixel value 38,Pixel value 39,Pixel value 40,Pixel value 41,Pixel value 42,Pixel value 43,Pixel value 44,Pixel value 45,Pixel value 46,Pixel value 47,Pixel value 48,Pixel value 49,Pixel value 50,Pixel value 51,Pixel value 52,Pixel value 53,Pixel value 54,Pixel value 55,Pixel value 56,Pixel value 57,Pixel value 58,Pixel value 59,Pixel value 60,Pixel value 61,Pixel value 62,Pixel value 63,Pixel value 64,Pixel value 65,Pixel value 66,Pixel value 67,Pixel value 68,Pixel value 69,Pixel value 70,Pixel value 71,Pixel value 72,Pixel value 73,Pixel value 74,Pixel value 75,Pixel value 76,Pixel value 77,Pixel value 78,Pixel value 79,Pixel value 80,Pixel value 81,Number of annotations,Percentage classified foreground,Class,User annotation details,
slow_20ms_15msexp0000.png,68,344,18151460.80,2.12,252096.96,0.31,0.00,2827,7196,5911,5397,1542,5654,5911,12593,3855,11565,2570,7967,1799,13621,8738,3084,1542,9766,14135,15163,5911,7453,17219,17219,10023,4112,10794,6939,3598,9252,26471,13364,12079,2313,5911,21331,5911,10023,18247,11308,21588,19018,12593,11051,8738,8995,7967,10280,29041,10537,7196,17990,13621,4626,3341,8481,8481,7710,10537,32382,18761,13364,6168,9766,1799,13878,18247,14906,12593,15163,4369,3598,6682,13364,11308,4112,4369,7967,14135,10280,5911,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,401,414,17780627.57,2.27,204189.32,0.30,0.00,4112,5397,11565,10023,10023,7967,4626,5654,3341,15163,5397,8995,18761,8995,6939,16705,5654,4626,7196,5911,7967,11565,19018,13364,5140,6168,7710,5911,2827,8224,20817,15163,20303,15420,11051,7967,5911,4883,10023,28013,11822,22359,5654,12593,12336,10280,3855,12079,15163,7710,8224,19789,12079,16191,5911,12593,7453,10537,16962,15420,11565,16962,6168,8995,4112,13621,8738,8738,16191,7967,9252,11051,8738,10537,7710,4626,2056,8481,9766,15420,10537,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,189,343,16535260.78,1.81,192925.19,0.19,0.00,11051,4626,9509,9252,11822,3598,8481,5140,30069,3341,10023,8738,2313,15163,7967,7453,3855,5140,6425,6939,9766,7967,10280,14649,10537,5397,5140,8995,12850,4112,24415,14135,11051,11051,9766,4369,7710,12079,7967,22873,8738,22616,12336,6425,3855,12850,5911,19275,19789,17733,29812,15677,8481,5911,8738,9766,4626,17733,15163,22616,10537,8224,8224,5140,11565,7967,19275,10280,10280,6168,2827,3341,3084,5911,7453,10023,3341,7710,12593,11822,10023,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,309,412,16171611.22,0.24,231382.49,0.00,0.00,3084,3598,2313,4883,13621,11822,7453,9252,16448,15163,2313,10794,14649,10537,19532,9252,4626,12593,15677,3598,3341,12850,10280,3855,8224,17476,12593,5140,5911,23387,12850,13621,8481,10023,6939,11822,4626,12593,8995,10794,12593,20560,8224,6425,8224,4883,10280,20303,10537,30069,30326,7196,8995,10023,14906,15677,12593,11822,9252,11565,17733,6939,12079,10537,5140,6682,20303,8224,19532,6939,4883,6425,19532,9509,10023,6425,10023,20303,14135,7196,8738,1,0.00,Background,write_str,
slow_20ms_15msexp0000.png,359,387,15311133.05,1.50,252200.12,0.19,0.00,4369,10537,6682,11565,2827,8224,21845,5397,8995,9252,8738,14649,4369,4369,9509,8995,7196,10023,4626,6939,8738,6939,15163,14649,6682,9509,11051,11565,4883,3341,9509,18761,20817,17219,13621,7710,8995,10280,16705,27756,21845,21588,12850,10023,5140,7967,5911,8995,24158,25957,16962,46517,15163,7710,8224,7967,7453,13878,23901,34438,8738,10280,6168,14392,11308,16705,8481,11822,8481,9509,14649,8224,7453,4883,4626,16191,4369,3341,14392,6939,2313,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,173,289,15161765.87,1.61,222303.08,0.19,0.00,9766,15163,5911,4883,5397,6425,5654,3598,8738,3084,2827,7196,10537,5397,11565,6425,6425,13621,5397,4626,1285,15677,11308,11051,17733,3341,2056,5397,14649,5140,8481,28270,10537,7196,8481,6425,7453,3341,6939,22616,16191,22359,14649,8738,3341,5397,10023,11822,28527,23901,17219,31354,5654,15420,3341,5140,10537,16962,15677,21074,8995,12593,10280,5397,7967,6939,8738,2570,12593,13364,7710,9509,4112,2313,11565,8481,9766,1799,7453,9252,1542,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,475,477,14995477.18,0.23,176484.33,0.00,0.00,4626,12079,3341,5397,5397,7196,9766,7196,12850,10023,7967,9509,4883,14906,5654,11565,11308,14906,4112,9252,11822,14392,2570,4883,14649,4883,8995,14392,6425,13364,7967,11308,7196,10537,3341,6939,8995,9509,6425,5911,8481,11308,9252,10794,10537,5140,10023,6682,12336,22873,34952,1028,13364,6939,13878,6425,8738,14135,6168,8738,8995,16705,4626,7967,4626,2313,8224,3341,11308,3341,4883,5911,12336,11822,9252,9766,8995,12850,5397,7196,11308,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,503,487,14979237.10,0.23,213410.84,0.00,0.00,3341,4626,12336,1799,8481,5140,2313,7967,3855,17733,14649,14649,5911,7710,10537,11822,3598,9766,7196,5140,4626,5654,6425,6939,8481,5140,9509,5397,6425,8481,4112,10537,6939,4883,9252,3598,10023,8481,6939,17990,12593,10794,9252,3855,11565,8995,5911,10280,9766,21588,29298,3598,7710,6168,8995,14135,5911,7196,5911,7196,11565,4626,7453,14135,13107,8995,8995,7967,11822,2570,11565,9509,6425,5397,26471,26214,13364,4112,3341,7196,11308,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,87,365,14862159.69,2.22,206382.09,0.34,0.00,4112,7710,3598,7196,7453,4626,5140,6682,7196,8995,4112,7196,3855,8481,10537,9252,10794,15163,5397,5654,12593,3598,7453,7967,17476,4883,8738,3341,8224,4112,8224,21845,16705,20817,15934,4626,12593,6939,13621,13878,12850,13878,12850,8995,8481,6168,10537,16705,11565,11308,19789,15677,8224,5654,3084,12593,5654,7453,16191,9766,4883,14649,6168,5397,2313,8224,15163,14135,11565,14392,23130,4369,16705,2313,2313,17990,24158,11822,10537,11822,7453,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,334,438,14780509.13,1.36,223747.08,0.14,0.00,11308,8224,13107,5140,12850,12336,7453,4883,7196,11822,11308,4112,3084,10280,4883,13621,13364,13878,4369,1028,5140,3598,11051,19532,9766,14135,6168,6939,8224,2313,13107,21331,20817,12336,4369,4883,7453,3598,15163,21331,18761,39321,24672,19018,10023,5911,8738,3855,21074,24929,24672,32125,8481,20046,4626,14649,5654,12336,23901,16962,18247,4112,12336,7967,19789,4369,10023,11822,11051,11822,9252,4626,3341,3341,4369,6682,6168,11308,15677,4626,3855,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,314,202,14448306.17,1.54,202224.65,0.17,0.00,3341,11822,6168,2827,7710,2313,3598,5140,3855,9766,3341,4883,5397,13107,11822,6682,2570,10794,7453,2056,6425,4369,2056,4626,5140,10280,5140,3855,10023,4112,6682,28270,19275,9252,4626,9766,9766,11308,4626,12850,26985,25443,15677,11051,4626,11822,3598,9509,14135,24929,26214,8481,8224,7967,7710,4112,16448,18761,19275,12079,13364,16448,14135,5911,2570,9509,13107,12850,20560,10280,9766,5911,3855,3598,10794,7196,14906,11051,10280,6682,2570,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,357,414,14225965.81,1.44,242772.42,0.18,0.00,3341,3598,8738,5654,7967,10023,6168,10794,15420,5397,4369,20560,14135,2056,18504,15163,15163,5911,1542,13107,7710,22102,12593,13621,5654,11308,4112,3084,12593,14135,14392,20817,15934,9252,11051,7453,5911,4369,12593,28784,35980,28270,20560,16705,8995,3598,8995,14392,11822,17476,33153,10794,10794,3598,13878,13107,19018,13364,19275,22873,9766,6425,2827,11051,10023,3084,19275,11051,4883,16705,2827,9252,6168,4369,5911,4369,7710,13878,5911,12336,8481,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,484,111,14131485.88,0.24,207487.04,0.00,0.00,11822,8738,2827,6168,8738,8995,2570,13878,7453,7967,18247,8738,18247,7710,7196,10537,5654,4112,12850,5911,10794,9509,2570,19275,7453,9252,7710,6939,6682,11565,11822,10280,6425,25443,12593,6168,6682,11051,8995,10280,25957,23130,2313,7196,10794,7967,4883,8481,4369,13364,14135,5140,15163,6168,6939,7710,9252,18247,5654,4369,3341,10794,4883,3341,5140,13107,10023,4626,4883,11051,11822,3855,6168,2313,9252,5654,6168,10023,5140,5654,8738,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,204,378,13568899.99,1.70,208307.82,0.22,0.00,12850,3084,5911,8481,4112,15420,3341,7710,6425,11822,4626,11565,9766,2056,13878,7967,6682,7967,14906,4883,10537,6168,5911,17219,8738,9509,3084,8995,8995,15420,18247,24158,5654,9766,9252,2056,6168,11822,9766,11822,22616,22873,12336,13878,6168,4369,9252,19789,11822,25443,21588,6425,8481,1799,1542,13364,11822,6682,20046,15677,18761,7196,3084,5397,16962,7196,14392,17990,15163,11051,4369,9252,8224,7710,12336,9252,10537,6168,7196,8224,6425,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,222,414,12901026.09,1.26,274471.33,0.17,0.00,8481,5911,3084,7196,9766,11051,7453,7453,7196,8224,17733,1285,12850,11051,10280,7196,7196,4112,3855,11308,7967,10280,17733,6425,6168,25700,14135,11565,21331,15163,8995,28270,18504,7196,4369,6425,8224,3598,13878,12336,30583,34181,39064,3084,6168,13107,4883,8995,23130,25186,26214,7710,9509,15677,11822,16191,4112,21074,22359,20303,17476,1542,11308,9509,5397,11565,17476,13621,7453,7196,7196,7196,15677,12850,11565,1799,7710,2827,3598,4369,3598,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,357,215,12682797.35,1.49,243069.48,0.21,0.00,4112,5911,22616,13364,12079,14649,10280,11051,9509,6425,5911,6425,6425,9766,11051,5911,3341,8738,8224,11051,6682,8995,24415,11822,9252,9766,9509,3855,20560,6168,21074,19789,16191,16705,4883,5911,11051,5911,12850,13878,12079,36237,18761,16705,14135,11308,4883,8738,11051,31354,16705,10537,19789,12079,1799,4626,9252,16191,17476,27499,10794,12850,7967,3341,7196,6168,11308,3341,7453,10280,9252,7967,7710,4369,3598,2570,4112,2313,6682,11822,9252,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,303,344,12359798.50,1.37,246309.08,0.19,0.00,6939,5397,3598,8224,5397,4626,11565,8481,5397,3855,8738,10794,2313,9766,12593,6168,12593,9766,6682,7967,6425,15420,23644,8224,7967,13364,6939,6939,10794,12079,11308,11051,15163,7710,16448,7453,3598,5140,6939,27756,13621,28527,15677,18761,8224,5654,6939,13878,24415,19018,40092,29041,14649,4369,4626,5654,13107,11308,30840,9766,19532,8738,6682,5654,5397,13364,13878,16962,5911,16448,5654,11822,7453,9509,9252,12336,6682,10023,3598,16191,1799,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,374,295,12144123.30,1.23,324941.41,0.20,0.00,11565,7967,16705,23387,9252,14392,14135,19275,17219,11308,8738,21588,10794,8481,12336,16962,15677,16962,18761,32125,20817,25186,16191,18247,8995,8224,4883,21331,25186,16448,19275,21845,23130,24415,13621,5654,8995,22102,19789,18504,52942,27499,19018,19532,11822,14135,15163,12336,15163,32639,21845,32382,17733,4883,3855,6425,10280,29041,14906,18504,13107,8224,12850,13107,10023,4883,4112,17476,3084,6682,6168,8224,8481,3084,6425,4883,12336,3084,12850,6425,4369,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,343,234,12050126.52,1.40,282065.88,0.23,0.00,20303,15163,14392,17219,7710,12079,7196,6682,8738,8738,7967,17733,9252,9766,16191,10794,8481,3084,11822,3855,6168,12336,16962,5140,14649,8995,3341,10537,6425,13621,7196,26471,37522,15934,10537,10794,9509,7967,10794,13878,21845,16448,16448,11051,10023,5397,10537,14392,29041,29041,31868,14392,33667,15677,7196,4626,5911,18504,19532,8481,6425,5911,10280,6425,11565,7967,1285,9252,7967,6682,4369,13364,6168,9509,2827,20046,17733,11308,2827,2827,9766,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,337,232,11998156.09,1.66,236154.39,0.27,0.00,16962,13878,15163,11565,1799,9252,9766,11051,6168,4626,10537,10537,11308,4112,6168,3341,7967,13107,4883,4883,3084,4883,7967,16705,12593,14906,14649,6939,5911,18761,8995,14392,20046,11051,14906,5397,6939,18247,5911,12593,18504,19789,31868,15934,9252,7453,3598,26214,22873,25186,15420,20046,11565,4112,12336,13878,20303,15163,14392,17219,7710,12079,7196,12850,6168,8738,7967,17733,9252,9766,16191,10794,10794,5911,11822,3855,6168,12336,16962,5140,14649,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,255,408,11941905.97,1.25,232812.16,0.15,0.00,8995,8481,9252,6682,7453,2313,19275,6682,5140,5397,9766,5654,10794,8995,9766,8481,11308,9766,2827,11051,8481,19018,14906,12850,12336,6425,6425,15677,6682,9252,15677,16448,19275,14906,6168,7710,6168,8481,17219,17476,28527,24158,29041,8995,12850,1799,12593,17990,17476,45232,28784,13878,16448,4112,10023,12850,17476,16705,11051,9509,13107,10023,9766,9252,10023,8995,12336,17476,2827,8738,10280,5654,4883,9509,23901,14392,7196,12850,1542,3855,9252,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,289,342,11775295.27,1.27,234102.58,0.16,0.00,13364,4369,9252,4112,8738,9766,15420,4112,9766,19789,2827,6939,6425,6939,20560,5911,4112,6682,16962,5654,6168,13621,9252,12593,11308,5397,6939,14392,6682,24929,17733,30583,14392,9509,4369,5397,3341,8738,16705,11565,35466,25186,14649,12079,5654,9252,7453,5397,26214,20817,30069,15677,15163,6939,9252,10023,12850,10280,20560,14135,23644,2313,8224,3084,11051,9766,5911,4883,7710,10794,5140,9509,10537,9766,6939,13878,9252,2313,7967,8224,7453,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,233,363,11692664.84,0.22,229348.98,0.00,0.00,16705,10023,5654,7196,10537,5911,9509,3598,4369,8995,6168,6425,10280,5140,8481,13364,10023,4626,20303,2570,3084,3855,4626,9252,4369,2570,7196,10537,15934,3598,8738,7453,8995,8995,12079,7967,2056,10280,12850,4883,12079,9252,23130,6939,3084,6939,15420,4883,14649,21074,37265,6939,15163,4112,11308,3855,6425,9509,18247,4112,12850,9766,17219,16705,11051,5140,15934,15420,18247,5911,8738,16191,3855,15163,9252,8481,3855,21845,8995,8224,7967,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,290,261,11506129.69,1.27,259930.83,0.18,0.00,4883,7453,8481,4369,2827,3855,6939,2570,3341,7710,6168,6939,5140,11051,7196,4626,19532,3598,5140,6425,11308,13107,7196,6425,3341,7453,9252,10537,8481,8738,25443,8738,21588,22359,11308,6425,4626,13621,10023,14135,25957,39835,21588,15677,4112,3341,10280,7196,6939,21074,17733,21845,3084,12593,17219,4112,6425,19018,13621,28013,18247,15163,5397,6168,6425,7967,4626,14392,15420,7710,7453,4626,11565,1799,8481,7453,2827,9766,12336,24158,19275,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,506,485,11202292.25,0.21,203010.66,0.00,0.00,8481,10280,5397,6425,8481,4112,10537,6939,4883,10280,5654,10023,8481,6939,17990,12593,10794,9252,6168,13878,8995,5911,10280,9766,21588,29298,3598,11822,9252,8995,14135,5911,7196,5911,7196,11565,4883,9766,14135,13107,8995,8995,7967,11822,2570,7196,5654,6425,5397,26471,26214,13364,4112,3341,4883,6168,9766,6168,6425,7710,10537,10023,4369,8224,11051,11051,11051,10023,8738,8481,3598,6168,6939,6682,10280,9766,7453,5911,8738,6168,8481,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,68,344,11055818.70,1.81,265359.78,0.40,0.00,2827,7196,5911,5397,1542,5654,5911,12593,3855,11565,2570,7967,1799,13621,8738,3084,1542,9766,14135,15163,5911,7453,17219,17219,10023,4112,10794,6939,3598,9252,26471,13364,12079,2313,5911,21331,5911,10023,18247,11308,21588,19018,12593,11051,8738,8995,7967,10280,29041,10537,7196,17990,13621,4626,3341,8481,8481,7710,10537,32382,18761,13364,6168,9766,1799,13878,18247,14906,12593,15163,4369,3598,6682,13364,11308,4112,4369,7967,14135,10280,5911,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,191,413,10822481.94,0.22,197016.18,0.00,0.00,6682,4112,5911,2056,6682,4112,14392,4626,9252,11051,8481,4369,7196,10280,15163,19532,3341,4369,1542,4112,10537,7453,9766,10537,2313,6682,4883,5140,6939,6425,6682,4112,6425,10537,11308,9766,8738,5140,11822,20303,8995,22873,8738,13621,5397,3084,11308,3341,7710,9509,24158,4369,6939,11308,5654,5140,6682,9252,13621,12336,17733,10023,14135,3341,19532,4883,15677,8481,5140,14135,3855,7967,5397,4369,6682,4112,9252,10794,6168,10023,3855,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,229,357,10544007.77,1.60,215548.74,0.26,0.00,5911,7967,6425,9509,5140,11051,4369,4112,6425,4883,5911,13364,11565,10023,1542,5140,15420,4883,8224,9766,7453,7453,12079,7453,11051,8995,8995,8224,19018,7710,14649,16191,19018,15677,3341,8224,10794,4626,10280,24415,13621,17990,16705,10023,5654,4626,4626,8481,17990,13107,21588,8995,6168,6425,2313,7967,6939,8995,7710,23130,20303,2570,3084,6682,5397,9509,4626,19018,15163,10537,15934,3598,13878,12850,2827,7196,6425,4112,2056,10280,12850,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,229,357,10394891.94,1.59,209317.35,0.26,0.00,5911,7967,6425,9509,5140,11051,4369,4112,6425,4883,5911,13364,11565,10023,1542,5140,15420,4883,8224,9766,7453,7453,12079,7453,11051,8995,8995,8224,19018,7710,14649,16191,19018,15677,3341,8224,10794,4626,10280,24415,13621,17990,16705,10023,5654,4626,4626,8481,17990,13107,21588,8995,6168,6425,2313,7967,6939,8995,7710,23130,20303,2570,3084,6682,5397,9509,4626,19018,15163,10537,15934,3598,13878,12850,2827,7196,6425,4112,2056,10280,12850,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,248,404,10186375.55,1.38,234054.08,0.22,0.00,13107,8995,5397,9509,11308,10280,4883,5654,8738,5397,6168,11051,13364,8224,17476,7453,17733,4369,6168,3084,5397,11565,7196,12336,5911,13621,2827,1799,5911,15163,27499,11822,13878,14392,20560,8481,15420,21588,11822,21074,35209,22873,13364,22616,3855,7710,10280,5911,11822,16191,24672,19789,17219,5654,3598,11822,2570,7967,8481,10280,13878,4112,10280,7967,7453,8738,7453,8995,8481,9252,6682,7453,11051,12593,6168,11051,5397,9766,5654,10794,8995,0,0.00,Foreground,write_str,
slow_20ms_15msexp0000.png,236,425,9831934.13,1.72,225319.18,0.34,0.00,13878,6682,4369,7453,7967,2827,6425,6425,19789,9766,11308,4369,4112,14392,7453,7453,12850,2827,8224,3598,7453,13621,12850,7710,11051,4112,3341,8224,7967,22873,14392,14135,7710,16191,14649,8481,3855,4626,12336,10280,21074,25186,15163,8481,12336,8995,10537,7196,8481,17990,15677,5397,11565,5911,7710,7196,20303,10280,2827,20560,7967,4883,7710,4112,8995,5654,8224,14906,17219,9766,8738,16705,11308,7710,5911,6939,11565,4883,5911,12593,5654,0,0.00,Foreground,write_str,
